,generic,next,AU,CA,FR,JP,KR,ES,DE,GB,IT,NL,NO,SE,US
p4_intro,"This section shows resource targeting, and provides analysis on how different resources in the resource mix from this donor are targeted against the depth of poverty of the receiving country. It provides a specific focus on the targeting of ODA against the depth of poverty and government revenue per capita of the recipient country.",,"The largest recipients of resource flows from Australia include large emerging economies and Pacific Islands. China, India and Viet Nam are the largest destinations for remittances, while Malaysia and Brazil are among the largest for FDI. Almost half of ODA goes to countries where the depth of poverty is high (above 5%); 29% goes to where it is most severe (above 20%). The largest country recipients of bilateral ODA are Papua New Guinea, Indonesia and the Solomon Islands.","Remittances are highly concentrated in a few countries, with China, India and the Philippines the largest recipients. ODA is more dispersed. Almost half of ODA goes to countries where the depth of poverty is high (above 5%), while more than 10% goes to countries where it is most severe (above 20%).","FDI is less concentrated and flows in higher proportions to countries with higher depths of poverty than investments from many other DAC countries. The largest destination countries in 2016 were Burkina Faso and Nigeria. 18% of FDI went to countries with a high depth of poverty (above 5%) – a proportion lower than ODA, of which 32% did. 5% of ODA went to countries with the most severe depth of poverty (above 20%).","FDI is the largest flow from Japan, though five East Asian countries account for 68% of this investment. China alone accounts for 29% of FDI and 60% of remittances. 13% of ODA goes to countries with a high depth of poverty (above 5%), alongside 1% of remittances and 6% of FDI.",Four countries account for 90% of remittances and seven for 90% of FDI. ODA is less concentrated and flows in greater proportions to the countries where poverty is deeper. 30% of ODA goes to countries with a high depth of poverty (above 5%) and 7% to countries where poverty is most severe (above 20%).,"FDI was only reported as going to three countries in 2016: Colombia, Peru, and the Dominican Republic, with Colombia receiving almost three quarters of FDI flows. Morocco and China account for under a third of remittances, while Cuba accounts for over three-quarters of ODA. However, ODA is spread across a greater number of countries – 14 countries each receive between US$10 and US$20 million of bilateral ODA. Just under 9% of bilateral ODA goes to countries with a high depth of poverty (above 5%). ","Four large emerging economies (China, Mexico, Turkey and India) account for 70% of German FDI in all developing countries. Lebanon, Viet Nam and Nigeria are the largest destinations of remittances. ODA is less concentrated and a higher proportion goes to countries where poverty is deeper. 18% of country-allocable ODA went to countries with a high depth of poverty (above 5%) and 6% (almost US$860 million) to where poverty is deepest (above 20%).","Lebanon, Viet Nam and Nigeria are the largest destinations of FDI. Remittances are concentrated in a few countries, though they exceed US$100 million in 18 countries. Almost a third of FDI goes to countries where depth of poverty exceeds 5%. 39% of ODA goes to countries where depth of poverty is high (above 5%) and 12% to countries with the most severe depth of poverty (over 20%).","FDI is the largest flow from Italy to developing countries, but it is highly concentrated in just a few. Five countries account for two-thirds of investment, including some rapidly developing economies, led by Turkey and Brazil. ODA is far more dispersed. Four countries received US$30 million or more in 2016, with 13 more receiving between US$10 million and US$30 million. Over two-fifths (41%) of ODA goes to countries with a high depth of poverty (above 5%) and 24% to where depth of poverty is most severe (above 20%).","Four countries – Brazil, India, Mexico and Nigeria – account for 70% of FDI from the Netherlands. ODA is less concentrated – 71% of ODA is invested across 13 countries. 43% bilateral ODA is invested in countries with a high depth of poverty (over 5% of people), and a quarter in countries with the most severe depth of poverty (over 20%).",More than a third of bilateral ODA goes to countries with a high depth of poverty (above 5%) and 12% to those where poverty is deepest (above 20%). Fifteen countries account for half of country-allocable bilateral ODA. ,"70% of FDI in 2016 went to six countries: China, India, Brazil, Argentina, Peru and the Ukraine. ODA is far less concentrated, and close to 45% of bilateral country-allocable ODA went to countries with a high depth of poverty (5% or more), while 18% went to countries with the most severe depth of poverty (above 20%).","Five countries, including some large emerging economies, account for 75% of FDI; eight account for 75% of remittances. Mexico alone accounts for 32% of FDI and 24% of remittances. ODA is more dispersed: 30 countries each receive over US$200 million in bilateral ODA. Under half is invested in countries with a high depth of poverty (over 5%), and 16% in countries with the most severe depth of poverty (over 20%). The largest recipients are Afghanistan, Jordan and Ethiopia."
d15,Resource targeting by recipient depth of poverty,,86% of FDI and almost two-thirds of remittances are concentrated in just four countries; ODA is provided more widely ,Five countries account for 70% of remittances; ODA is provided more widely,A high proportion of FDI flows alongside high remittance flows,ODA is provided more widely than FDI and remittances ,ODA is distributed more widely than other resources and flows in greater proportions to the countries where poverty is deepest,Colombia accounts for almost three quarters of FDI; ODA is less concentrated,"Five countries account for 77% of FDI, while ODA is less concentrated – the largest 20 recipients account for 70% of country-allocable ODA","Remittances, and to a lesser extent FDI, are highly concentrated in a small number of countries – ODA is provided more widely","FDI is highly concentrated in a small number of countries, while ODA is more dispersed and flows in larger volumes to many of the poorest countries",FDI is highly concentrated in a small number of countries; remittances and ODA in particular are invested more widely,15% of ODA goes to countries where poverty is deepest (above 20%),ODA is provided more widely than other resources and a greater proportion flows to countries where poverty is deepest,FDI and remittances are highly concentrated in a small number of countries; ODA is invested across a wider range of countries
d15_subtitle_1,"2016, ODA",,,,,,,,,,,,,,
d15_subtitle_2,"2016, Remittances",,,,,,,,,,,,,,
d15_subtitle_3,"2016, Foreign direct investment",,,,,,,,,,,,,,
d15_subtitle_4,Depth of poverty in destination countries,,,,,,,,,,,,,,
d15_year,2016,,,,,,,,,,,,,,
d8,Bilateral ODA in 2015 by depth of poverty and government revenue per capita of recipient,,"96% of bilateral ODA goes to countries where government revenues are below the median PPP$2,620 across all developing countries; 53% goes to countries where it is less than PPP$750   per person","Over two-thirds of ODA goes to countries in which domestic resources are lowest, where government revenues are less than PPP$750 per person","Almost three-quarters of ODA goes to countries where government revenues are below the median PPP$2,620 across all developing countries","80% of bilateral ODA goes to countries where government revenues are below the median PPP$2,620 across all developing countries; 25% goes to countries where it is less than PPP$750 per person","90% of ODA goes to countries where government revenues are below the median PPP$2,620 across all developing countries; 40% goes to where it is less than PPP$750 per person","94% of ODA goes to countries where government revenues are below the median PPP$2,620 across all developing countries","60% of ODA goes to countries where government revenues are below the median PPP$2,620 across all developing countries","79% of bilateral ODA goes to countries with the lowest levels of domestic resources, where government revenues are less than PPP$750 per person","60% of country-allocable ODA goes to countries with the lowest levels of domestic resources, where government revenues are less than PPP$750 per person","75% of ODA goes to the countries with the lowest domestic resources, where government revenues are less than PPP$750 per person","62% of ODA goes to countries with the lowest levels of domestic resources, where government revenues are less than PPP$750 per person","75% of ODA goes to countries with the lowest levels of domestic resources, where government revenues are less than PPP$750 per person","71% of bilateral ODA goes to countries with the lowest levels of domestic resources, where government revenues are less than PPP$750 per person"
d8_y_axis_title,Depth of poverty %,,,,,,,,,,,,,,
d8_x_axis_title,"Non-grant government revenue per capita, PPP$, 2016",,,,,,,,,,,,,,
d8_legend_band_text,"Size of ODA, US$ millions",,,,,,,,,,,,,,
d8_year,2016,,,,,,,,,,,,,,
p4_notes,"Depth of poverty is a measure of the average gap in income for people living below the poverty line spread across the population of the whole country, expressed as a percentage of the 2011PPP$1.90-a-day poverty line. Purchasing power parity (PPP) prices are the rate at which a country’s currency would have to be converted into that of another country to buy the same amount of goods and services in each country.   PPPs are constructed by comparing the cost of a common basket of goods in different countries.   ‘Government revenue’ refers to the total non-grant revenue either collected or projected to be collected by the government in the financial year 2016. Median non-grant government revenue across all developing countries in 2016 was PPP$2,285 per person; a quarter of developing countries have revenues of less than PPP$500 per person. Acronyms: FDI: foreign direct investment; ODA: official development assistance.",,,,,,,,,,,,,,
